item_#,strUC,common_name,scientific_name,doi,url,editors,reviewer,start_date,end_date,publication_date
59f5ebdae4b063d5d307e1f1,aCHDSx,Chamberlain's Dwarf Salamander,Eurycea chamberlaini,https://doi.org/10.5066/F7TX3DGR,https://www.sciencebase.gov/catalog/item/59f5ebdae4b063d5d307e1f1,['Adam Radel'],Jeff Lonneker,2008,2013,2018-07
59f5e20fe4b063d5d307dc61,aCHSAx,Cheoah Bald Salamander,Plethodon cheoah,https://doi.org/10.5066/F7WW7GTV,https://www.sciencebase.gov/catalog/item/59f5e20fe4b063d5d307dc61,['Adam Radel'],Jeff Lonneker,2008,2013,2018-07
59f5ec5be4b063d5d307e673,aCISSx,Channel Islands Slender Salamander,Batrachoseps pacificus,https://doi.org/10.5066/F7JD4VTB,https://www.sciencebase.gov/catalog/item/59f5ec5be4b063d5d307e673,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
59f5e1d4e4b063d5d307db21,aCKSAx,Cow Knob Salamander,Plethodon punctatus,https://doi.org/10.5066/F7Q81C52,https://www.sciencebase.gov/catalog/item/59f5e1d4e4b063d5d307db21,['Matthew Rubino'],Steve Williams,2008,2016,2018-07
59f5ec42e4b063d5d307e57d,aCLFRx,Chiricahua Leopard Frog,Lithobates chiricahuensis,https://doi.org/10.5066/F700014T,https://www.sciencebase.gov/catalog/item/59f5ec42e4b063d5d307e57d,['Adam Radel'],Jeff Lonneker,2008,2014,2018-07
59f5e242e4b063d5d307dd91,aCLSAx,Clouded Salamander,Aneides ferreus,https://doi.org/10.5066/F7TM795W,https://www.sciencebase.gov/catalog/item/59f5e242e4b063d5d307dd91,"['Matthew Rubino', 'Thomas Laxson']",Nathan Tarr,2008,2013,2018-07
59f5ebefe4b063d5d307e2b7,aCMDSx,Carolina Mountain Dusky Salamander,Desmognathus carolinensis,https://doi.org/10.5066/F7PV6JF5,https://www.sciencebase.gov/catalog/item/59f5ebefe4b063d5d307e2b7,['Adam Radel'],Jeff Lonneker,2008,2013,2018-07
59f5e256e4b063d5d307de0b,aCMSAx,Caddo Mountain Salamander,Plethodon caddoensis,https://doi.org/10.5066/F7RB73JZ,https://www.sciencebase.gov/catalog/item/59f5e256e4b063d5d307de0b,['Matthew Rubino'],Steve Williams,2008,2016,2018-07
59f5ec51e4b063d5d307e617,aCMTSx,Cheat Mountain Salamander,Plethodon nettingi,https://doi.org/10.5066/F7BG2N05,https://www.sciencebase.gov/catalog/item/59f5ec51e4b063d5d307e617,['Matthew Rubino'],Steve Williams,2008,2016,2018-07
59f5e1bee4b063d5d307daab,aCOFRx,Columbia Spotted Frog,Rana luteiventris,https://doi.org/10.5066/F7NV9HCP,https://www.sciencebase.gov/catalog/item/59f5e1bee4b063d5d307daab,['Ken Boykin'],Jeff Lonneker,2008,2013,2018-07
59f5e27be4b063d5d307dedf,aCOGSx,Coastal Giant Salamander,Dicamptodon tenebrosus,https://doi.org/10.5066/F7DN442Z,https://www.sciencebase.gov/catalog/item/59f5e27be4b063d5d307dedf,['Ken Boykin'],Steve Williams,2008,2016,2018-07
59f5ec41e4b063d5d307e571,aCOSAx,Coeur D'alene Salamander,Plethodon idahoensis,https://doi.org/10.5066/F7TX3DF9,https://www.sciencebase.gov/catalog/item/59f5ec41e4b063d5d307e571,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
59f5ec42e4b063d5d307e579,aCOSPx,Couch's Spadefoot,Scaphiopus couchii,https://doi.org/10.5066/F7KH0MFB,https://www.sciencebase.gov/catalog/item/59f5ec42e4b063d5d307e579,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
